11780, 13343, 8916, 8681, 9566, 9043, 10252, 13261, 18375, 14339, 
18454, 16935, 18451, 16662, 15953, 19074, 21159, 20115, 19013, 17198, 
25592, 28763, 35724, 30216, 26749, 31391, 25938, 23931, 24249, 28425, 
34116, 34038, 32030, 31612, 32576, 33538, 31447, 33336, 36408, 33848, 
39061, 40457, 40085, 47255, 42800, 40818, 40200, 40053, 40917, 39703, 
50716, 61965, 69599, 74431, 68638, 87569, 83474, 56316, 61023, 63472, 
85920, 95229, 63382, 63426, 61947, 56548, 56641, 56279, 60000, 88702, 
82242, 76318, 64544, 65110, 77667, 77437, 67822, 69397, 67311, 66809, 
74792, 89873, 88192, 74983, 84760, 71286, 74026, 75667, 77236, 76292, 
115280, 93031, 78899, 85556, 90173, 88850, 94466, 88848, 92473, 94093, 
